year,nino34_mean,nino34_max,nino34_var
1870,-0.9283333333333333,-0.53,0.04128787878787881
1871,-0.44916666666666666,-0.24,0.024153787878787872
1872,-0.7125,-0.32,0.04145681818181817
1873,-0.695,-0.34,0.0730818181818182
1874,-1.0675000000000001,-0.72,0.038711363636363634
1875,-0.765,-0.37,0.032427272727272735
1876,-0.5,0.23,0.32656363636363644
1877,1.2333333333333334,2.49,0.538060606060606
1878,0.5541666666666667,2.43,1.238135606060606
1879,-0.6849999999999999,-0.18,0.09084545454545455
1880,-0.37083333333333335,0.24,0.17513560606060602
1881,-0.0425,0.41,0.12178409090909094
1882,-0.46249999999999997,0.1,0.08312954545454546
1883,-0.26333333333333336,-0.01,0.026842424242424244
1884,0.16749999999999998,0.4,0.033402272727272725
1885,0.3825,1.02,0.10692954545454544
1886,-0.7741666666666666,0.17,0.2875537878787878
1887,-0.5991666666666667,0.15,0.21911742424242425
1888,0.8125,2.21,0.39740227272727274
1889,-0.09666666666666668,1.98,1.2572060606060609
1890,-1.2791666666666666,-0.68,0.2716810606060606
1891,-0.006666666666666672,0.29,0.03804242424242424
1892,-0.835,-0.34,0.17415454545454548
1893,-1.2491666666666668,-1.0,0.009462878787878794
1894,-0.92,-0.48,0.032490909090909084
1895,-0.022500000000000006,0.48,0.1728022727272727
1896,0.5683333333333334,1.55,0.4079606060606061
1897,0.0725,1.49,0.4344386363636364
1898,-0.5583333333333333,-0.19,0.03912424242424242
1899,0.21083333333333334,1.51,0.5768083333333333
1900,0.7416666666666667,1.41,0.12516060606060606
1901,-0.12083333333333335,0.82,0.12722651515151515
1902,0.7358333333333333,1.54,0.6019901515151515
1903,-0.0008333333333333156,1.33,0.5434992424242426
1904,-0.010833333333333325,0.91,0.4564083333333334
1905,0.89,1.42,0.09119999999999996
1906,-0.03333333333333333,0.89,0.38655151515151526
1907,-0.3758333333333333,0.13,0.05095378787878788
1908,-0.5108333333333334,0.07,0.09735378787878785
1909,-0.8741666666666666,-0.29,0.12722651515151517
1910,-0.9283333333333333,-0.52,0.07086969696969696
1911,-0.2541666666666667,0.96,0.46773560606060605
1912,0.21166666666666667,1.55,0.3531424242424242
1913,0.035,0.85,0.19788181818181821
1914,0.49750000000000005,0.92,0.0867840909090909
1915,0.355,1.1,0.16320909090909091
1916,-0.93,-0.12,0.3316727272727273
1917,-0.42250000000000004,0.15,0.2770568181818182
1918,0.07833333333333335,1.3,0.6327787878787879
1919,0.6075,1.6,0.2534386363636364
1920,0.21916666666666665,0.64,0.08882651515151514
1921,-0.45083333333333336,0.43,0.24764469696969693
1922,-0.3325,0.22,0.08189318181818182
1923,0.029166666666666674,1.02,0.4324083333333334
1924,-0.40750000000000003,0.63,0.37122045454545455
1925,0.18916666666666668,1.6,0.6530810606060605
1926,0.5225,1.52,0.4452568181818181
1927,-0.07833333333333332,0.27,0.06654242424242424
1928,-0.06583333333333334,0.47,0.04800833333333332
1929,0.085,0.63,0.0657
1930,0.7174999999999999,1.79,0.31143863636363633
1931,0.45249999999999996,1.49,0.45743863636363646
1932,-0.005833333333333329,0.28,0.05839015151515152
1933,-0.6241666666666666,0.01,0.1844810606060606
1934,-0.49,-0.11,0.0790727272727273
1935,-0.17,0.28,0.09227272727272728
1936,0.10999999999999999,0.74,0.14765454545454548
1937,0.010000000000000002,0.3,0.06725454545454546
1938,-0.4575,0.23,0.17092954545454545
1939,-0.19166666666666665,0.43,0.21343333333333334
1940,0.7383333333333333,1.39,0.21481515151515138
1941,1.11,1.41,0.07732727272727268
1942,-0.45,0.61,0.6376181818181819
1943,-0.5158333333333333,0.05,0.18539015151515148
1944,-0.10416666666666667,0.16,0.04449924242424242
1945,-0.6266666666666666,-0.36,0.03246060606060606
1946,-0.21666666666666667,0.15,0.051206060606060595
1947,-0.2658333333333333,0.39,0.21280833333333335
1948,0.08083333333333333,0.63,0.12011742424242423
1949,-0.49666666666666665,0.26,0.2350242424242424
1950,-1.0625,-0.63,0.05967499999999999
1951,0.12583333333333335,0.9,0.5186810606060607
1952,-0.18583333333333332,0.41,0.14531742424242425
1953,0.31916666666666665,0.77,0.047081060606060605
1954,-0.5866666666666667,0.39,0.2889333333333333
1955,-1.1841666666666668,-0.66,0.14128106060606058
1956,-0.8566666666666666,-0.58,0.03431515151515152
1957,0.47500000000000003,1.18,0.2581
1958,0.4291666666666667,1.54,0.3307901515151515
1959,-0.017500000000000005,0.5,0.1137840909090909
1960,-0.09000000000000001,0.05,0.02032727272727273
1961,-0.18916666666666668,0.13,0.06284469696969697
1962,-0.33499999999999996,-0.13,0.017372727272727276
1963,0.36083333333333334,1.05,0.2500628787878788
1964,-0.5425,0.76,0.3815295454545455
1965,0.6,1.61,0.6699272727272727
1966,0.23416666666666663,1.13,0.23489924242424243
1967,-0.37833333333333335,-0.1,0.028087878787878804
1968,-0.02416666666666666,0.76,0.3085356060606061
1969,0.5575,1.02,0.07120227272727273
1970,-0.355,0.55,0.3598454545454545
1971,-0.9308333333333333,-0.64,0.0732083333333333
1972,0.775,2.19,0.8226636363636364
1973,-0.6508333333333333,1.6,1.4813901515151515
1974,-0.945,-0.32,0.24299090909090912
1975,-1.045,-0.33,0.21264545454545455
1976,-0.08583333333333336,0.88,0.6818265151515153
1977,0.5016666666666667,1.09,0.16734242424242424
1978,-0.17916666666666667,0.72,0.19128106060606057
1979,0.18666666666666668,0.69,0.060315151515151516
1980,0.14083333333333334,0.55,0.05406287878787879
1981,-0.18916666666666668,0.07,0.0317719696969697
1982,0.915,2.33,0.747190909090909
1983,0.44583333333333336,2.43,1.610608333333333
1984,-0.7200000000000001,-0.35,0.12498181818181818
1985,-0.7116666666666666,-0.4,0.0457969696969697
1986,0.08416666666666667,1.04,0.4443174242424243
1987,1.2241666666666666,1.53,0.04004469696969695
1988,-1.0191666666666668,0.69,0.995226515151515
1989,-0.7883333333333334,-0.13,0.29463333333333336
1990,0.1775,0.36,0.013947727272727271
1991,0.5975,1.62,0.19258409090909093
1992,0.6224999999999999,1.62,0.6324568181818185
1993,0.4366666666666667,0.93,0.0686060606060606
1994,0.3825,1.21,0.21802045454545455
1995,-0.024999999999999984,1.1,0.3995545454545455
1996,-0.37000000000000005,-0.12,0.028563636363636367
1997,1.19,2.42,1.1429090909090909
1998,0.07250000000000002,2.42,1.8970568181818181
1999,-1.0941666666666665,-0.81,0.08333560606060607
2000,-0.8725,-0.36,0.19618409090909097
2001,-0.33666666666666667,0.01,0.06133333333333333
2002,0.5891666666666667,1.41,0.2910446969696969
2003,0.23916666666666667,0.98,0.15746287878787885
2004,0.36916666666666664,0.73,0.08893560606060605
2005,0.03583333333333335,0.56,0.13160833333333335
2006,0.09333333333333334,1.1,0.47938787878787875
2007,-0.5608333333333334,0.59,0.49399015151515147
2008,-0.7133333333333334,-0.04,0.3518787878787881
2009,0.35250000000000004,1.81,0.7821477272727274
2010,-0.43,1.43,1.4475272727272728
2011,-0.8483333333333333,-0.23,0.17405151515151515
2012,-0.03166666666666667,0.66,0.23572424242424245
2013,-0.22166666666666668,-0.02,0.017887878787878793
2014,0.25416666666666665,0.89,0.17351742424242422
2015,1.47,2.57,0.5923454545454544
2016,0.3958333333333333,2.56,1.338008333333333
2017,-0.2025,0.3,0.17376590909090905
2018,0.0625,1.0,0.42989318181818176
2019,0.5325000000000001,0.81,0.043729545454545465
2020,-0.22166666666666668,0.64,0.40806969696969697
2021,-0.6275000000000001,-0.06,0.10862045454545455
2022,-0.8475,-0.56,0.021929545454545448
2023,0.8291666666666666,2.01,0.9437174242424242
2024,0.42583333333333334,1.71,0.5148628787878787
2025,-3333.1158333333333,0.05,24236733.71428106
