year,tau_global_mean,tau_global_max,tau_global_var
1850,0.0035904428811068226,0.004376872943600395,1.8008892375807313e-07
1851,0.002500934403394561,0.0029852091606973148,9.41506826526146e-08
1852,0.0014364303251186757,0.0018918868374840692,9.489735956918626e-08
1853,0.0005938813019012993,0.0008773640109452158,2.3058279491650186e-08
1854,0.00027463090026054725,0.0003942028755159526,6.664653628066459e-09
1855,0.002010603867282858,0.012213485943557834,1.379885986775286e-05
1856,0.03865763289867199,0.05468573258672725,0.0001456096722264851
1857,0.060160832620469236,0.06840465586335792,3.6593227832174256e-05
1858,0.029000703309777973,0.04400090019984396,6.816615539105419e-05
1859,0.011185986657962665,0.01620503983209583,7.467697882740392e-06
1860,0.004592946004686441,0.00691342892083792,1.6499862934485027e-06
1861,0.003404933891088638,0.007912913346621609,4.053967054232414e-06
1862,0.013653938437714452,0.01620503983209583,4.315110263126285e-06
1863,0.010017914938492073,0.012888665546772149,3.0882923394428263e-06
1864,0.004629789074512529,0.006806801143917519,1.3781080946100673e-06
1865,0.001993269939715632,0.0029020448084580504,2.539902455826997e-07
1866,0.000805327870447729,0.0012090619598470562,4.8603107697561026e-08
1867,0.0003648351959669452,0.00048293501119084175,4.349341197654196e-09
1868,0.00017945056303632305,0.0003058901378596413,1.4533605528637712e-09
1869,0.0005707952091792986,0.000659639983735991,1.4339515376572553e-08
1870,0.0005738946212001705,0.000659639983735991,6.683879269453868e-10
1871,0.0005648845181708566,0.0007802608416546125,8.160722606563538e-09
1872,0.0013087594270350686,0.0022025117192483114,2.0945945879298112e-07
1873,0.003003962627024954,0.0033741923552426875,9.012805420408519e-08
1874,0.0019504811904609625,0.0026951554997647624,1.9635921329813969e-07
1875,0.0012707729327993118,0.0030101215641085257,4.7121424879848425e-07
1876,0.006206709822933243,0.007402597178555245,1.3333185983948854e-06
1877,0.0052394534703017305,0.0062326355926549445,4.089662403992231e-07
1878,0.0031112535137319884,0.0040040894496109775,2.3383004042476938e-07
1879,0.0019673400145521504,0.002401162794264006,7.557350925388738e-08
1880,0.0011039668155029738,0.001461596636741439,3.994623693696616e-08
1881,0.0006192899255646613,0.0007919360963011081,7.0486851226654325e-09
1882,0.0005153191664028746,0.0005468946187817485,6.553390223235994e-10
1883,0.04734282594065407,0.13195906771282664,0.0012752899892404612
1884,0.14298705294615774,0.16448196531993894,0.00031966329699062223
1885,0.06340694597455952,0.10094339184991159,0.0003266443929996737
1886,0.03642490867842244,0.06920509525865925,0.00028317736992532276
1887,0.03710339116206638,0.05387342501236584,7.630182437115795e-05
1888,0.0218596363590175,0.03763971041520161,6.951538782150905e-05
1889,0.028536387381727476,0.039256778501905204,4.492651628590835e-05
1890,0.039114103359578635,0.04816741851634214,2.30248222649305e-05
1891,0.029966356752383478,0.042166078119791436,5.569752742353762e-05
1892,0.021640005711022967,0.027702282236476833,1.2385588409010812e-05
1893,0.00942618915721831,0.014276096237471333,7.0752072595704545e-06
1894,0.003519982551881583,0.005318448148807449,9.627226844367738e-07
1895,0.0013628770298209393,0.002007479105655439,1.2473867962468314e-07
1896,0.01827038495243619,0.0280054717628632,5.9416105233727096e-05
1897,0.016853503827902936,0.02161335707865943,5.958830584639985e-06
1898,0.012107631667098334,0.01830341850735597,1.1677157600430173e-05
1899,0.004545101687397387,0.006851661419927159,1.6089734835610024e-06
1900,0.0017534812743367574,0.002573884928737603,2.1131701570959546e-07
1901,0.0007204371308508479,0.001011292524328399,2.7190493659617364e-08
1902,0.020209107643054128,0.06599736820542129,0.00040090589215197573
1903,0.07156008832753803,0.08232222437979503,7.985725844656113e-05
1904,0.03176328779095828,0.05053048202687527,8.206388682721867e-05
1905,0.012562642725712387,0.019293451004968258,1.0797941950669879e-05
1906,0.007225334157137549,0.009117590319907628,1.5441909747572354e-06
1907,0.009179471981237626,0.010902491363178668,3.1421317364714995e-06
1908,0.010240355703736449,0.014633859737980271,6.714323576570466e-06
1909,0.003981613144262044,0.005892644806967729,1.1897127771486548e-06
1910,0.0031107543188093893,0.00410048822109795,4.241470425226927e-07
1911,0.0016318628816854193,0.0022823548807871536,1.4176345032885182e-07
1912,0.019251469855371336,0.04001107076708147,0.00025498784952691076
