model,param,coef,std_err,z,p_value
Ocean sink,intercept,0.5515292893513992,0.2438195383418037,2.2620389370856158,0.02369499772025402
Ocean sink,E_total,0.15987131078964725,0.03446862532944285,4.638169038121934,3.5150925161732364e-06
Ocean sink,dE_total,-0.19566106387991863,0.16813623615808254,-1.1637055066223625,0.24454337707330998
Ocean sink,ar.L1,0.23888411342445476,0.18734957186873027,1.2750715736454048,0.20228390976254274
Ocean sink,sigma2,0.009186142798451952,0.0023788475980102606,3.8615936582635713,0.00011264981213694795
Land sink,intercept,2.5763617394299403,1.2083256396650017,2.132175015457104,0.032992461581237344
Land sink,E_total,0.07556226359269246,0.10611017452430171,0.7121113873522744,0.4763958033208483
Land sink,dE_total,1.4353601733045847,0.8712705531909616,1.6474333581545801,0.0994690035105182
Land sink,nino34_max_z,-0.4521571059824966,0.24657219308532227,-1.833771684976801,0.06668789250162008
Land sink,scpdsi_global_max_z,0.5104634702781914,0.2030431014960766,2.514064582923321,0.011934857594514153
Land sink,tau_global_mean_z,0.08104593562691156,0.1732128966728166,0.4678978135213566,0.6398576671631051
Land sink,ar.L1,-0.2196434418417444,0.24027474478674424,-0.9141345339340131,0.36064615842144454
Land sink,sigma2,0.2182964577226,0.07849181681372949,2.7811365131303267,0.0054168953486717665
Imbalance AR(1),ar.L1,0.41952370718193494,0.19029984131636302,2.204540499245608,0.027486355025155385
Imbalance AR(1),sigma2,0.5932022252572514,0.21489224630370146,2.7604636065784085,0.00577193884940182
